stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
300000,"ORIENTAL BL/MACKENZIE ST",,  40.578350, -73.940029,,,0,
300002,"ORIENTAL BL/JAFFRAY ST",,  40.578066, -73.943029,,,0,
300003,"ORIENTAL BL/HASTINGS ST",,  40.577909, -73.944643,,,0,
300004,"ORIENTAL BL/FALMOUTH ST",,  40.577718, -73.946200,,,0,
300006,"ORIENTAL BL/DOVER ST",,  40.577353, -73.949552,,,0,
300007,"ORIENTAL BL/BEAUMONT ST",,  40.577148, -73.951388,,,0,
300008,"ORIENTAL BL/WEST END AV",,  40.577003, -73.952724,,,0,
300009,"BRIGHTON BEACH AV/CORBIN PL",,  40.577381, -73.954407,,,0,
300010,"BRIGHTON BEACH AV/BRIGHTON 14 ST",,  40.577957, -73.956381,,,0,
300011,"BRIGHTON BEACH AV/BRIGHTON 12 ST",,  40.578369, -73.958173,,,0,
300012,"BRIGHTON BEACH AV/CONEY ISLAND AV",,  40.577968, -73.960253,,,0,
300013,"BRIGHTON BEACH AV/BRIGHTON 5 ST",,  40.577402, -73.962835,,,0,
300014,"BRIGHTON BEACH AV/BRIGHTON 3 ST",,  40.577035, -73.964603,,,0,
300016,"BRIGHTON BEACH AV/OCEAN PKY",,  40.576421, -73.967439,,,0,
300017,"OCEAN PY/OCEAN VIEW AV",,  40.578740, -73.967853,,,0,
300018,"OCEAN PY/NEPTUNE AV",,  40.580219, -73.967568,,,0,
300019,"OCEAN PY/WEST AV",,  40.581414, -73.967253,,,0,
300020,"OCEAN PKY/SHORE PKY",,  40.585483, -73.966323,,,0,
300022,"AV X/E 2 ST",,  40.590771, -73.968783,,,0,
300023,"AV X/WEST ST",,  40.590563, -73.970630,,,0,
300024,"AV X/W 2 ST",,  40.590344, -73.972607,,,0,
300025,"AV X/MC DONALD AV",,  40.590190, -73.974001,,,0,
300026,"86 ST/VAN SICKLEN ST",,  40.591307, -73.976136,,,0,
300028,"86 ST/W 9 ST",,  40.593826, -73.980239,,,0,
300029,"86 ST/W 11 ST",,  40.595116, -73.982378,,,0,
300030,"86 ST/AV U",,  40.595739, -73.983411,,,0,
300031,"86 ST/STILLWELL AV",,  40.596791, -73.985195,,,0,
300032,"86 ST/25 AV",,  40.597875, -73.987055,,,0,
300033,"86 ST/24 AV",,  40.599207, -73.989229,,,0,
300034,"86 ST/23 AV",,  40.600524, -73.991422,,,0,
300035,"86 ST/BAY PY",,  40.601880, -73.993637,,,0,
300036,"86 ST/21 AV",,  40.603239, -73.995905,,,0,
300037,"86 ST/20 AV",,  40.604568, -73.998095,,,0,
300038,"86 ST/19 AV",,  40.605899, -74.000299,,,0,
300040,"86 ST/18 AV",,  40.607724, -74.003260,,,0,
300041,"86 ST/17 AV",,  40.608866, -74.005121,,,0,
300042,"86 ST/16 AV",,  40.610351, -74.007581,,,0,
300043,"86 ST/15 AV",,  40.611706, -74.009829,,,0,
300044,"86 ST/14 AV",,  40.613220, -74.012413,,,0,
300045,"86 ST/13 AV",,  40.614061, -74.013726,,,0,
300046,"13 AV/84 ST",,  40.615392, -74.012419,,,0,
300047,"13 AV/82 ST",,  40.616543, -74.011238,,,0,
300048,"13 AV/79 ST",,  40.618206, -74.009502,,,0,
300049,"13 AV/77 ST",,  40.619307, -74.008353,,,0,
300050,"13 AV/BAY RIDGE PY",,  40.620531, -74.007085,,,0,
300051,"13 AV/73 ST",,  40.621657, -74.005904,,,0,
300052,"13 AV/71 ST",,  40.622760, -74.004769,,,0,
300053,"BAY RIDGE AV/13 AV",,  40.624096, -74.004425,,,0,
300054,"BAY RIDGE AV/12 AV",,  40.625260, -74.006365,,,0,
300055,"BAY RIDGE AV/11 AV",,  40.626600, -74.008588,,,0,
300056,"BAY RIDGE AV/10 AV",,  40.627890, -74.010721,,,0,
300057,"BAY RIDGE AV/FT HAMILTON PY",,  40.628927, -74.012433,,,0,
300060,"OVINGTON AV/6 AV",,  40.631427, -74.018741,,,0,
300061,"BAY RIDGE AV/6 AV",,  40.632552, -74.018875,,,0,
300062,"BAY RIDGE AV/5 AV",,  40.633457, -74.020864,,,0,
300063,"BAY RIDGE AV/4 AV",,  40.634837, -74.023869,,,0,
